YUL,YYC,2026-05-21T06:11:00+00:00,2026-05-21T10:25:00+00:00,Boeing 737 MAX 9,180,180
YYC,YUL,2026-05-21T06:25:00+00:00,2026-05-21T10:39:00+00:00,Boeing 737 MAX 9,180,180
FRA,YUL,2026-05-21T06:44:00+00:00,2026-05-21T14:04:00+00:00,Boeing 787-9 Dreamliner,180,180
HEL,YUL,2026-05-21T06:11:00+00:00,2026-05-21T13:52:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,IAD,2026-05-21T06:45:00+00:00,2026-05-21T08:14:00+00:00,Airbus A320neo,180,180
YUL,PHX,2026-05-21T06:44:00+00:00,2026-05-21T11:27:00+00:00,Boeing 787-9 Dreamliner,180,180
PHX,YUL,2026-05-21T06:38:00+00:00,2026-05-21T11:21:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,LYS,2026-05-21T06:10:00+00:00,2026-05-21T13:31:00+00:00,Boeing 787-9 Dreamliner,180,180
LYS,YUL,2026-05-21T06:20:00+00:00,2026-05-21T13:41:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,NCE,2026-05-21T06:31:00+00:00,2026-05-21T14:09:00+00:00,Boeing 787-9 Dreamliner,180,180
CDG,YUL,2026-05-21T06:16:00+00:00,2026-05-21T13:14:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,BAH,2026-05-21T06:48:00+00:00,2026-05-21T19:02:00+00:00,Boeing 787-9 Dreamliner,180,180
ISB,YUL,2026-05-21T06:17:00+00:00,2026-05-21T18:54:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,HND,2026-05-21T06:34:00+00:00,2026-05-21T18:57:00+00:00,Boeing 787-9 Dreamliner,180,180
STV,YUL,2026-05-21T06:33:00+00:00,2026-05-21T20:34:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,GAY,2026-05-21T06:14:00+00:00,2026-05-21T20:18:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,LPQ,2026-05-21T06:33:00+00:00,2026-05-21T21:31:00+00:00,Boeing 787-9 Dreamliner,180,180
GOX,YUL,2026-05-21T06:14:00+00:00,2026-05-21T20:55:00+00:00,Boeing 787-9 Dreamliner,180,180
YUL,MAA,2026-05-21T06:20:00+00:00,2026-05-21T21:37:00+00:00,Boeing 787-9 Dreamliner,180,180
MAA,YUL,2026-05-21T06:25:00+00:00,2026-05-21T21:42:00+00:00,Boeing 787-9 Dreamliner,180,180
